Execution,White victim,Hispanic victim,Black victim,Victim of other races,Female victim,Male victim
330,NA,NA,NA,NA,NA,NA
329,0,1,0,0,0,1
328,1,0,0,0,0,1
327,NA,NA,NA,NA,1,1
326,0,1,0,0,0,1
325,1,0,0,0,0,1
324,2,0,0,0,2,0
323,1,0,0,0,0,1
321,1,0,0,0,0,1
320,3,0,0,0,3,0
319,2,0,0,0,2,0
318,0,0,3,0,3,0
317,1,0,0,0,0,1
316,1,0,0,0,0,1
315,1,0,0,0,1,0
314,1,0,0,0,1,0
313,1,0,0,0,1,0
312,2,0,0,0,1,1
311,2,0,0,0,2,0
310,1,0,1,0,2,0
309,1,0,0,0,0,1
308,1,0,0,0,0,1
307,0,0,1,0,1,0
306,1,0,0,0,0,1
305,1,0,0,0,0,1
304,NA,NA,NA,NA,0,1
303,1,0,0,0,1,0
302,0,1,0,0,0,1
301,1,0,0,0,1,0
300,NA,NA,NA,NA,0,1
299,1,0,0,0,0,1
298,0,0,1,0,1,0
297,0,1,0,0,0,1
296,0,1,0,0,1,0
295,1,0,0,0,0,1
294,2,0,0,0,2,0
293,0,1,0,0,0,1
292,1,0,0,0,1,0
291,0,1,0,0,1,0
290,3,0,0,0,2,1
289,2,0,0,0,1,1
288,1,1,0,0,1,1
287,2,0,0,0,2,0
286,1,0,0,0,0,1
284,NA,NA,NA,NA,0,1
282,1,0,0,0,1,0
281,1,0,0,0,1,0
280,0,0,2,0,1,1
279,0,0,3,0,3,0
278,NA,NA,NA,NA,1,0
277,0,1,0,0,0,1
276,1,0,0,0,0,1
275,1,0,0,0,1,0
274,NA,NA,NA,NA,2,0
273,5,0,0,0,3,2
272,1,0,0,0,0,1
271,1,0,0,0,0,1
270,1,0,0,0,0,1
269,1,0,0,0,0,1
268,1,0,0,0,0,1
267,1,0,0,0,1,0
266,0,1,0,0,0,1
265,1,0,0,0,1,0
264,1,0,0,0,0,1
263,0,1,0,0,1,0
262,0,0,2,0,0,2
261,1,0,0,0,0,1
260,1,0,0,0,0,1
259,0,0,2,0,1,1
258,0,1,0,0,1,0
257,NA,NA,NA,NA,1,0
256,1,0,0,0,0,1
255,0,0,1,0,0,1
254,1,0,0,0,0,1
253,NA,NA,NA,NA,0,2
252,0,1,0,0,0,1
251,2,0,0,0,1,1
250,1,0,0,0,0,1
249,2,0,0,0,0,2
248,NA,NA,NA,NA,0,2
247,3,0,0,0,2,1
246,NA,NA,NA,NA,0,1
245,2,0,0,0,1,1
244,2,0,0,0,2,0
243,0,1,0,0,1,0
242,NA,NA,NA,NA,1,0
241,1,0,0,0,0,1
240,0,1,0,0,1,0
239,1,0,0,0,0,1
238,1,0,0,0,0,1
237,1,0,0,0,1,0
236,0,0,1,0,1,0
235,1,0,0,0,0,1
234,1,0,0,0,1,0
233,1,0,0,0,1,0
232,1,0,0,0,1,0
231,0,0,3,0,2,1
230,2,0,0,0,2,0
229,1,0,0,0,1,0
228,NA,NA,NA,NA,1,0
227,1,0,0,0,1,0
226,1,0,0,0,0,1
225,1,0,0,0,0,1
224,2,0,0,0,2,0
223,NA,NA,NA,NA,NA,NA
222,1,0,0,0,0,1
220,0,1,0,0,0,1
219,2,0,0,0,2,0
218,0,0,6,0,5,1
217,1,0,0,0,1,0
216,NA,NA,NA,NA,0,1
215,1,0,0,0,0,1
214,2,0,0,0,1,1
213,1,0,0,0,1,0
212,1,0,0,0,1,0
211,1,0,0,0,1,0
210,0,0,0,1,0,1
209,NA,NA,NA,NA,1,0
208,1,0,0,0,0,1
207,NA,NA,NA,NA,0,1
206,2,0,0,0,0,2
205,1,0,0,0,1,0
204,1,0,0,0,0,1
203,1,0,0,0,0,1
202,0,0,1,0,1,0
201,1,0,0,0,1,0
200,2,0,0,0,2,0
199,1,0,0,0,0,1
198,1,0,0,0,0,1
197,3,0,0,0,1,2
196,3,0,0,0,3,0
195,1,0,0,0,1,0
194,1,0,0,0,0,1
193,0,0,2,0,1,1
191,1,0,0,0,1,0
190,NA,NA,NA,NA,0,1
189,NA,NA,NA,NA,1,0
188,NA,NA,NA,NA,0,1
187,NA,NA,NA,NA,1,0
186,0,0,0,1,0,1
185,1,0,0,0,1,0
184,1,0,0,0,1,0
183,1,0,0,0,1,0
180,1,0,0,0,1,0
179,1,0,0,0,1,0
178,NA,NA,NA,NA,1,0
177,1,0,0,0,1,0
176,0,0,1,0,1,0
175,0,1,0,0,0,1
174,1,0,0,0,0,1
173,3,0,0,0,0,3
172,NA,NA,NA,NA,1,0
171,NA,NA,NA,NA,0,1
170,NA,NA,NA,NA,1,0
169,NA,NA,NA,NA,4,0
167,NA,NA,NA,NA,0,1
166,1,0,0,0,0,1
165,NA,NA,NA,NA,1,0
164,0,1,0,0,0,1
163,1,0,0,0,1,0
162,3,0,0,0,3,0
161,1,0,0,0,1,0
160,2,0,0,0,2,0
159,1,0,1,0,0,2
158,0,1,0,0,0,1
157,1,0,0,0,0,1
156,0,0,1,0,0,1
155,4,0,0,0,3,1
154,1,0,0,0,0,1
153,1,0,0,0,0,1
152,1,0,0,0,1,0
151,NA,NA,NA,NA,1,0
150,1,0,0,0,1,0
148,1,0,0,0,1,0
147,1,0,0,0,1,0
145,2,0,0,0,1,1
144,1,0,0,0,0,1
143,1,0,0,0,1,0
142,1,0,0,0,1,0
141,1,0,0,0,1,0
140,NA,NA,NA,NA,1,0
139,3,0,0,0,0,4
138,1,0,0,0,0,1
137,NA,NA,NA,NA,0,1
136,1,0,0,0,1,0
135,2,0,0,0,2,0
134,NA,NA,NA,NA,0,1
133,0,0,3,0,1,2
132,NA,NA,NA,NA,1,0
131,1,0,0,0,0,1
130,3,0,0,0,2,1
129,1,0,0,0,0,1
128,2,0,0,0,1,1
127,0,1,0,0,1,0
126,1,0,0,0,0,1
125,NA,NA,NA,NA,1,0
124,1,0,0,0,0,1
123,2,0,0,0,0,2
122,1,0,0,0,1,0
121,NA,NA,NA,NA,0,1
120,1,0,0,0,1,0
119,NA,NA,NA,NA,2,1
118,NA,NA,NA,NA,NA,NA
117,1,0,0,0,0,1
116,1,0,0,0,1,0
115,2,0,0,0,1,1
114,1,0,0,0,1,0
113,1,0,0,0,0,1
111,3,0,0,0,2,1
110,1,0,0,0,1,0
109,1,0,0,0,1,0
108,NA,NA,NA,NA,1,0
107,1,0,0,0,0,1
106,NA,NA,NA,NA,6,1
105,NA,NA,NA,NA,1,1
104,2,0,0,0,0,2
103,NA,NA,NA,NA,1,0
102,0,0,0,2,0,2
101,NA,NA,NA,NA,0,1
99,NA,NA,NA,NA,0,1
98,0,0,1,0,1,0
97,NA,NA,NA,NA,1,0
96,NA,NA,NA,NA,0,1
95,1,0,0,0,1,0
94,NA,NA,NA,NA,1,2
93,NA,NA,NA,NA,0,1
92,1,0,0,0,1,0
91,NA,NA,NA,NA,1,0
90,0,1,0,0,1,0
89,NA,NA,NA,NA,0,1
87,NA,NA,NA,NA,NA,NA
86,1,0,0,0,1,0
85,NA,NA,NA,NA,0,1
84,NA,NA,NA,NA,0,1
83,NA,NA,NA,NA,0,1
82,NA,NA,NA,NA,0,1
81,1,0,0,0,0,1
80,1,0,0,0,1,0
79,1,0,0,0,0,1
78,1,0,0,0,0,1
77,1,0,0,0,0,1
76,0,0,1,0,0,1
75,NA,NA,NA,NA,1,0
74,1,0,0,0,0,1
73,0,1,0,0,0,1
72,0,0,0,1,0,1
71,1,0,0,0,1,0
70,1,0,0,0,0,1
69,NA,NA,NA,NA,1,0
68,1,0,0,0,1,0
67,1,3,0,0,0,4
66,0,1,0,0,0,1
65,2,0,0,0,0,2
64,2,0,0,0,2,0
63,1,0,0,0,0,1
62,1,0,0,0,0,1
61,1,0,0,0,0,1
60,1,0,0,0,1,0
59,1,0,0,0,1,0
58,0,1,0,0,0,1
57,NA,NA,NA,NA,1,0
56,NA,NA,NA,NA,0,1
55,0,1,0,0,0,1
52,2,0,0,0,0,2
49,0,1,0,0,1,0
48,1,0,0,0,1,0
47,1,0,0,0,1,0
46,1,0,0,0,1,0
45,2,0,0,0,1,1
44,NA,NA,NA,NA,1,0
42,1,0,0,0,0,1
41,NA,NA,NA,NA,0,1
38,1,0,0,0,0,1
37,1,0,0,0,0,1
36,1,0,0,0,0,1
35,1,0,0,0,0,1
34,0,0,1,0,0,1
33,1,0,0,0,1,0
32,NA,NA,NA,NA,0,1
31,1,0,0,0,1,0
30,NA,NA,NA,NA,1,1
29,NA,NA,NA,NA,0,1
21,NA,NA,NA,NA,0,1
2,NA,NA,NA,NA,1,0
1,1,0,0,0,0,1
